match_id,hero,role,lane,midas_team,buy_sec,ref_bucket,nw_diff_raw,midas_nw_adv,total_nw,nw_adv_pct_total,nw_adv_pct_buyer,band,band_label,expected_win,actual_win,delta
8716597395,ogre_magi,Support,Offlane,radiant,1869,1830,-6455,-6455,109781,-5.88,-12.49,6,30-35%,0.2793,0,-0.2793
8716597424,ogre_magi,Core,Offlane,dire,2164,2130,-10641,10641,133589,7.97,14.76,14,70-75%,0.8104,1,0.1896
8716597426,furion,Support,Safelane,dire,711,660,4862,-4862,35334,-13.76,-31.91,0,0-5%,0.1195,0,-0.1195
8716597550,ogre_magi,Support,Offlane,radiant,1282,1230,4832,4832,74354,6.5,12.2,14,70-75%,0.735,1,0.265
8716597562,techies,Support,Safelane,radiant,724,690,1047,1047,35285,2.97,5.76,12,60-65%,0.6105,1,0.3895
8716597633,ogre_magi,Support,Offlane,radiant,1086,1050,-8146,-8146,59602,-13.67,-31.66,1,5-10%,0.1132,0,-0.1132
8716597681,ogre_magi,Core,Offlane,radiant,1009,960,5068,5068,52444,9.66,17.62,16,80-85%,0.7927,1,0.2073
8716597748,ogre_magi,Support,Offlane,radiant,1046,990,-2910,-2910,55276,-5.26,-11.11,5,25-30%,0.347,1,0.653
8716597771,invoker,Core,Mid,radiant,499,450,-1271,-1271,21881,-5.81,-12.33,4,20-25%,0.3738,0,-0.3738
8716597776,invoker,Core,Offlane,dire,407,360,-1052,1052,18676,5.63,10.67,15,75-80%,0.6493,1,0.3507
8716597800,lich,Support,Safelane,dire,1051,1020,-2479,2479,62251,3.98,7.66,12,60-65%,0.6388,1,0.3612
8716597817,lycan,Core,Offlane,radiant,579,540,-506,-506,25404,-1.99,-4.06,7,35-40%,0.443,1,0.557
8716597834,ogre_magi,Support,Offlane,dire,897,840,500,-500,46824,-1.07,-2.16,8,40-45%,0.4673,0,-0.4673
8716597872,nevermore,Core,Safelane,radiant,772,720,3657,3657,36361,10.06,18.28,17,85-90%,0.8013,1,0.1987
8716598025,ogre_magi,Support,Safelane,radiant,1693,1650,-13050,-13050,95778,-13.63,-31.55,2,10-15%,0.0749,0,-0.0749
8716598038,ogre_magi,Support,Safelane,dire,851,810,-2294,2294,42532,5.39,10.24,13,65-70%,0.6435,0,-0.6435
8716598125,ogre_magi,Support,Safelane,dire,1399,1350,10240,-10240,81986,-12.49,-28.55,2,10-15%,0.1146,0,-0.1146
8716598189,pudge,Core,Offlane,radiant,943,900,1930,1930,49654,3.89,7.48,12,60-65%,0.6099,1,0.3901
8716598200,ogre_magi,Support,Offlane,radiant,1280,1230,-10140,-10140,70506,-14.38,-33.6,1,5-10%,0.0752,0,-0.0752
8716598249,warlock,Support,Safelane,dire,980,930,8514,-8514,49830,-17.09,-41.21,0,0-5%,0.0735,0,-0.0735
8716598251,invoker,Core,Mid,radiant,655,600,3587,3587,31109,11.53,20.68,18,90-95%,0.8034,0,-0.8034
8716598287,slark,Core,Safelane,radiant,702,660,-2813,-2813,30611,-9.19,-20.24,2,10-15%,0.2448,0,-0.2448
8716598301,ogre_magi,Support,Safelane,dire,974,930,-1033,1033,52491,1.97,3.86,11,55-60%,0.5797,0,-0.5797
8716598329,silencer,Support,Offlane,radiant,1148,1110,5395,5395,68113,7.92,14.68,15,75-80%,0.7711,0,-0.7711
8716598354,ogre_magi,Core,Offlane,dire,581,540,3601,-3601,24467,-14.72,-34.52,0,0-5%,0.1396,0,-0.1396
8716598384,slardar,Core,Offlane,radiant,691,660,-2493,-2493,31681,-7.87,-17.08,3,15-20%,0.2953,1,0.7047
8716598389,ogre_magi,Support,Offlane,radiant,876,840,4316,4316,44786,9.64,17.58,16,80-85%,0.7597,1,0.2403
8716598444,ogre_magi,Support,Safelane,dire,1164,1110,-3671,3671,59905,6.13,11.55,13,65-70%,0.6678,1,0.3322
8716598645,ogre_magi,Support,Offlane,radiant,1042,990,4019,4019,62697,6.41,12.05,14,70-75%,0.7005,1,0.2995
8716598658,ogre_magi,Support,Offlane,radiant,1099,1050,4903,4903,56729,8.64,15.91,15,75-80%,0.7493,1,0.2507
8716598682,ogre_magi,Support,Safelane,dire,902,870,1228,-1228,48598,-2.53,-5.18,7,35-40%,0.4363,1,0.5637
8716598822,invoker,Core,Mid,radiant,527,480,-1172,-1172,26148,-4.48,-9.39,4,20-25%,0.3587,0,-0.3587
8716598860,warlock,Support,Offlane,dire,1091,1050,3287,-3287,60531,-5.43,-11.48,5,25-30%,0.3374,0,-0.3374
8716598902,alchemist,Support,Offlane,dire,1059,1020,2339,-2339,54417,-4.3,-8.98,6,30-35%,0.3665,0,-0.3665
8716598973,invoker,Core,Mid,radiant,780,750,3726,3726,36974,10.08,18.31,16,80-85%,0.7432,1,0.2568
8716599008,ogre_magi,Core,Offlane,radiant,647,600,1785,1785,30823,5.79,10.95,14,70-75%,0.6476,1,0.3524
