match_id,hero,role,lane,role_cat,midas_team,buy_sec,ref_bucket,personal_nw_adv,band,band_label,expected_win,actual_win,delta
8731596728,invoker,Core,Mid,mid,dire,666,630,-348,7,Behind,0.459593,0,-0.459593
8731596739,legion_commander,Core,Offlane,offlane,radiant,1207,1170,-2833,1,Very Behind,0.208664,0,-0.208664
8731596757,invoker,Core,Mid,mid,dire,989,930,-2390,2,Very Behind,0.291872,1,0.708128
8731596762,ogre_magi,Support,Offlane,support,radiant,942,900,37,10,Even,0.506922,1,0.493078
8731596813,invoker,Core,Mid,mid,dire,1058,1020,-2737,2,Very Behind,0.275305,0,-0.275305
8731596814,techies,Support,Offlane,support,dire,1100,1050,-2193,1,Very Behind,0.309653,0,-0.309653
8731596817,ogre_magi,Support,Offlane,support,dire,1453,1410,-3016,1,Very Behind,0.248539,0,-0.248539
8731596845,slardar,Core,Offlane,offlane,radiant,553,510,-305,6,Behind,0.4447,1,0.5553
8731596875,ogre_magi,Support,Offlane,support,dire,1234,1200,-1010,5,Behind,0.401705,1,0.598295
8731596919,invoker,Core,Mid,mid,radiant,517,480,-564,5,Behind,0.428759,0,-0.428759
8731596921,slardar,Core,Offlane,offlane,radiant,545,510,1123,18,Very Ahead,0.696411,0,-0.696411
8731596943,venomancer,Core,Mid,mid,radiant,634,600,-146,8,Even,0.46728,1,0.53272
8731596947,ogre_magi,Core,Offlane,offlane,dire,1066,1020,-1352,4,Behind,0.338603,0,-0.338603
8731596977,furion,Core,Mid,mid,dire,1136,1080,-2035,4,Behind,0.349175,1,0.650825
8731596984,phoenix,Support,Safelane,support,dire,927,870,-460,6,Behind,0.442804,0,-0.442804
8731597025,ogre_magi,Support,Safelane,support,radiant,934,900,-457,6,Behind,0.439286,1,0.560714
8731597042,alchemist,Support,Offlane,support,radiant,478,420,605,18,Very Ahead,0.568617,1,0.431383
8731597097,invoker,Core,Mid,mid,dire,764,720,-965,5,Behind,0.417517,1,0.582483
8731597118,ogre_magi,Support,Offlane,support,dire,911,870,-584,5,Behind,0.432147,1,0.567853
8731597193,ogre_magi,Support,Offlane,support,dire,1711,1680,-247,9,Even,0.482072,0,-0.482072
